100    0,2  0
100    0,4  0
100    0,6  0
100    0,8  0
100    1,0  0
150    0,2  0
150    0,4  0
150    0,6  0
150    0,8  0
150    1,0  0
200    0,2  0
200    0,4  0
200    0,6  0
200    0,8  0
200    1,0  0
250    0,2  0
250    0,4  0
250    0,6  0
250    0,8  0
250    1,0  0
300    0,2  0
300    0,4  0
300    0,6  0
300    0,8  0
300    1,0  0
350    0,2  0
350    0,4  0
350    0,6  0
350    0,8  0
350    1,0  0
400    0,2  0
400    0,4  0
400    0,6  0
400    0,8  0
400    1,0  0
450    0,2  0
450    0,4  0
450    0,6  0
450    0,8  0
450    1,0  1
500    0,2  0
500    0,4  0
500    0,6  0
500    0,8  1
500    1,0  1
550    0,2  0
550    0,4  0
550    0,6  1
550    0,8  1
550    1,0  1
600    0,2  0
600    0,4  0
600    0,6  1
600    0,8  1
600    1,0  1
650    0,2  0
650    0,4  0
650    0,6  1
650    0,8  1
650    1,0  2
700    0,2  0
700    0,4  1
700    0,6  1
700    0,8  2
700    1,0  2
750    0,2  0
750    0,4  1
750    0,6  1
750    0,8  2
750    1,0  3
800    0,2  0
800    0,4  1
800    0,6  2
800    0,8  2
800    1,0  3
850    0,2  0
850    0,4  1
850    0,6  2
850    0,8  3
850    1,0  3
900    0,2  0
900    0,4  1
900    0,6  2
900    0,8  3
900    1,0  4
950    0,2  1
950    0,4  1
950    0,6  2
950    0,8  3
950    1,0  4
