100_0.2, 0
100_0.4, 0
100_0.6, 0
100_0.8, 0
100_1.0, 0
150_0.2, 0
150_0.4, 0
150_0.6, 0
150_0.8, 0
150_1.0, 0
200_0.2, 0
200_0.4, 0
200_0.6, 0
200_0.8, 0
200_1.0, 0
250_0.2, 0
250_0.4, 0
250_0.6, 0
250_0.8, 0
250_1.0, 0
300_0.2, 4
300_0.4, 1
300_0.6, 1
300_0.8, 1
300_1.0, 0
350_0.2, 0
350_0.4, 1
350_0.6, 1
350_0.8, 1
350_1.0, 0
400_0.2, 1
400_0.4, 1
400_0.6, 1
400_0.8, 1
400_1.0, 0
450_0.2, 1
450_0.4, 2
450_0.6, 2
450_0.8, 1
450_1.0, 1
500_0.2, 1
500_0.4, 2
500_0.6, 2
500_0.8, 2
500_1.0, 1
550_0.2, 2
550_0.4, 3
550_0.6, 3
550_0.8, 2
550_1.0, 1
600_0.2, 2
600_0.4, 3
600_0.6, 3
600_0.8, 2
600_1.0, 1
650_0.2, 3
650_0.4, 4
650_0.6, 4
650_0.8, 3
650_1.0, 2
700_0.2, 3
700_0.4, 5
700_0.6, 5
700_0.8, 3
700_1.0, 2
750_0.2, 4
750_0.4, 6
750_0.6, 6
750_0.8, 4
750_1.0, 2
800_0.2, 4
800_0.4, 7
800_0.6, 7
800_0.8, 5
800_1.0, 3
850_0.2, 5
850_0.4, 7
850_0.6, 8
850_0.8, 5
850_1.0, 3
900_0.2, 6
900_0.4, 8
900_0.6, 9
900_0.8, 6
900_1.0, 4
950_0.2, 6
950_0.4, 9
950_0.6, 10
950_0.8, 7
950_1.0, 8
